<RTE>
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-5e-5-28, LR=5e-05, SEED=28, ACC= 0.6620795107033639
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-1e-5-28, LR=1e-05, SEED=28, ACC= 0.6559633027522935
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-5e-4-28, LR=0.0005, SEED=28, ACC= 0.65565749235474
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-1e-4-28, LR=0.0001, SEED=28, ACC= 0.6645259938837921
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-5e-5-210, LR=5e-05, SEED=210, ACC= 0.6892966360856269
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-1e-5-210, LR=1e-05, SEED=210, ACC= 0.6626911314984709
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-5e-4-210, LR=0.0005, SEED=210, ACC= 0.6425076452599389
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-1e-4-210, LR=0.0001, SEED=210, ACC= 0.6782874617737003
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-5e-5-8274, LR=5e-05, SEED=8274, ACC= 0.6752293577981652
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.6678899082568808
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=entropy_gradweight_masking_0.999-5e-4-8274, LR=0.0005, SEED=8274, ACC= 0.6284403669724771
